CARINA_DPH                 NGS  24 100.36 -51.31
CCS_DSF2237                DIS  20 339.96  11.88
CCS_Q2233                  DIS  25 339.04  13.94
CDFS_00                    DIS  61  53.13 -27.87
CDFS_01                    DIS  21  52.01 -28.21
CDFS_03                    DIS  22  54.17 -27.31
CDFS_04                    DIS  14  52.93 -28.91
CDFS_05                    DIS  14  52.11 -27.28
CDFS_07                    DIS  16  52.10 -29.21
CDFS_08                    DIS  17  53.10 -29.40
CDFS_09                    DIS  14  54.10 -29.03
CDFS_10                    DIS  15  52.90 -27.37
CFHTLSD4                   DIS  50 333.78 -17.94
CNOC2_00                   DIS  31 327.51  -5.46
COMBO17_A901               DIS  32 149.09 -10.11
COSMOS_01                  DIS  47 150.37   2.46
COSMOS_02                  DIS  46 150.37   1.96
COSMOS_03                  DIS  58 149.87   2.46
COSMOS_04                  DIS  50 149.87   1.96
DEEP23H                    DIS  60 352.50   0.00
DEEP23H_01                 DIS  54 351.75   0.14
DEEP23H_02                 DIS  51 353.27   0.14
DEEP2H                     DIS  25  37.15  -0.27
DEEP2H_01                  DIS  21  36.89   0.59
DEEPLENS_N1_00             DIS  17  13.67  12.80
DEEPZLE_00                 DIS  46 253.01  34.93
DEEPZLE_01                 DIS  57 252.00  34.92
DLENSS_00                  DIS  20  79.44 -48.99
DLENSS_01                  DIS  21  80.70 -48.40
DLENSS_02                  DIS  23  79.30 -48.30
DLENSS_03                  DIS  22  80.75 -49.05
DLENSS_04                  DIS  19  80.70 -49.70
DLENSS_05                  DIS  24  79.20 -49.75
EIS_WIDE_D                 DIS  14 137.44  -2.52
EISD1AB                    DIS  35 343.39 -40.22
ELAISN1_00                 DIS  14 243.40  54.98
ELAISN1_01                 DIS  13 241.96  55.64
ELAISN1_02                 DIS  14 241.72  54.58
ELAISN1_03                 DIS  13 245.15  55.89
ELAISN1_04                 DIS  13 243.28  53.89
ELAISN1_05                 DIS  14 243.16  56.55
ELAISN1_06                 DIS  12 241.50  56.61
ELAISN1_07                 DIS  12 244.71  55.10
ELAISN1_08                 DIS  13 241.01  55.05
ELAISN1_09                 DIS  11 241.61  53.53
ELAISN1_10                 DIS  11 240.40  53.79
ELAISN1_11                 DIS  16 242.82  52.90
ELAISN1_12                 DIS  12 244.11  54.00
ELAISN2_00                 DIS  27 249.21  41.04
ELAISN2_01                 DIS  14 247.82  41.07
ELAISN2_03                 DIS  15 250.54  41.37
ELAISN2_04                 DIS  15 250.15  40.27
ELAISN2_05                 DIS  11 248.55  40.05
ELAISN2_06                 DIS  11 248.20  41.47
ELAISN2_07                 DIS  12 248.75  40.28
ELAISN2_08                 DIS  12 249.67  41.90
ELAISS1_00                 DIS  31   9.64 -43.99
ELAISS1_01                 DIS  21   9.32 -42.97
ELAISS1_02                 DIS  37  11.08 -43.85
ELAISS1_03                 DIS  32  10.40 -44.89
ELAISS1_04                 DIS  32   8.92 -44.91
ELAISS1_05                 DIS  47   7.66 -44.35
ELAISS1_08                 DIS  29   7.70 -42.82
ELAISS1_11                 DIS  46   9.12 -41.73
ELAISS1_15                 DIS  27   8.84 -43.80
GI1_005001_J000211m430725  GII  11   0.55 -43.12
GI1_005007_J092810p702308  GII  22 142.04  70.39
GI1_005008_J100924p280300  GII  15 152.35  28.05
GI1_005015_J132648p660300  GII  17 201.70  66.05
GI1_005021_J154712m131514  GII  42 236.80 -13.25
GI1_013007_IRASF09111m1007 GII  16 138.41 -10.32
GI1_013023_IRASF10038m3338 GII  11 151.52 -34.14
GI1_014001_NGC2442         GII  15 113.50 -69.80
GI1_022001_CL0024p1654     GII  14   6.65  17.16
GI1_022002_MS0451m0301     GII  90  73.43  -2.62
GI1_024002_DEEP_IMPACT     GII  10 204.47  -9.56
GI1_032001_NGC5291         GII  17 206.94 -30.45
GI1_035001_J104802p052610  GII  63 162.01   5.44
GI1_035002_J105002p042644  GII  53 162.51   4.45
GI1_036037_NGC6574         GII  11 272.96  14.98
GI1_041001_EF_ERI          GII  21  48.55 -22.59
GI1_041002_SDSS155331p5516 GII  22 238.50  55.44
GI1_043001_AE_AQR          GII  31 310.04  -0.87
GI1_045001_AM1806m852      GII  20 279.32 -85.40
GI1_045007_AM1434m783      GII  20 220.12 -78.64
GI1_052002_KIG557          GII  13 193.82   0.25
GI1_052004_KIG792          GII  40 257.96  18.84
GI1_056009_NGC2298         GII  17 102.07 -35.94
GI1_056023_NGC6218         GII  19 251.81  -1.95
GI1_056025_NGC6235         GII  31 253.37 -22.59
GI1_056026_NGC6254         GII  18 254.29  -4.10
GI1_056028_Pal_11          GII  15 296.43  -7.94
GI1_059003_NGC2865         GII  14 140.88 -23.16
GI1_061002_NGC0300         GII  10  13.72 -37.68
GI1_065001_SubaruDeep      GII  71 201.09  27.49
GI1_071001_M81             GII  20 148.69  69.19
GI1_073009_J231524p185859  GII  19 348.85  18.98
GI1_074001_J120526m074324  GII  54 181.36  -7.72
GI1_098001_A0426           GII  15  49.90  41.50
GI1_113003_V476_CYG        GII  11 299.60  53.62
GI1_114001_RXJ0122m7521    GII  36  20.72 -75.35
GI1_114003_PG1159m035      GII  24 180.44  -3.76
GI1_114004_PG0038p199      GII  14  10.40  20.15
GI2_001001_HYADES_POS1     GII  14  68.57  17.15
GI2_001002_HYADES_POS2     GII  12  66.95  17.09
GI2_007006_S_121410p140127 GII  24 183.54  14.02
GI2_007011_S_141753p251014 GII  33 214.47  25.17
GI2_007012_S_143907p641712 GII  19 219.78  64.29
GI2_046001_COMA3           GII  27 194.34  27.18
GI2_057001_NGC55           GII  28   3.79 -39.22
GROTH_00                   DIS 187 214.99  52.78
HDFN_00                    DIS 103 189.21  62.20
LOCK_00                    DIS  46 162.68  58.73
LOCK_01                    DIS  22 160.70  58.52
LOCK_02                    DIS  25 161.02  59.45
LOCK_03                    DIS  24 159.00  59.21
LOCK_04                    DIS  23 161.75  57.90
LOCK_05                    DIS  63 163.29  56.95
LOCK_06                    DIS  21 158.83  58.13
LOCK_07                    DIS  28 164.19  58.27
LOCK_08                    DIS  17 160.01  56.60
LOCK_09                    DIS  25 163.23  59.78
LOCK_10                    DIS  21 161.45  55.97
LOCK_11                    DIS  28 165.00  59.19
LOCK_12                    DIS  24 159.52  57.76
LOCK_13                    DIS  24 157.35  57.42
LOCK_15                    DIS  21 163.09  57.88
LOCK_18                    DIS  10 161.40  56.36
LOCK_19                    DIS  11 163.20  59.20
MSJ2137                    DIS  33 325.12 -23.94
NGA_Cen_A_Jet              NGS  18 201.80 -42.90
NGPDWS_00                  DIS  76 219.16  35.17
NGPDWS_01                  DIS  15 217.86  35.41
NGPDWS_03                  DIS  10 218.15  34.60
NGPDWS_04                  DIS  12 216.55  35.45
NGPDWS_15                  DIS  12 216.40  34.35
NSC_J171150p160145         DIS  12 257.96  16.03
PHOENIX_00                 DIS  12  17.70 -45.75
QSOHE2347                  DIS  24 357.64 -43.43
SIRTFFL_00                 DIS  28 259.12  59.91
SIRTFFL_01                 DIS  20 260.41  59.34
SIRTFFL_02                 DIS  10 260.11  58.50
SIRTFFL_03                 DIS  11 258.33  58.87
UVE_A0216                  DIS  10  24.20  -6.38
UVE_A0389                  DIS  23  42.88 -24.93
UVE_A0951                  DIS  35 153.38  34.62
UVE_A1643                  DIS  11 193.98  44.29
UVE_A1979                  DIS  24 222.75  31.28
UVE_A2048                  DIS  19 228.82   4.38
UVE_A2235                  DIS  55 253.74  39.52
UVE_A2670                  DIS  10 358.54 -10.41
UVE_A3330                  DIS  48  79.18 -49.07
UVE_FORNAX                 DIS  12  54.10 -35.55
VIRGOHI21                  DIS  25 184.85  14.60
VVDS22H                    DIS  54 334.43   0.67
WHTDF_00                   DIS  24   5.65   0.36
WIRE_0813p02               DIS  77 123.51   3.49
XMMLSS_00                  DIS  49  36.66  -4.48
XMMLSS_01                  DIS  70  36.36  -4.48
XMMLSS_02                  DIS  15  36.58  -5.51
XMMLSS_03                  DIS  19  35.47  -5.52
XMMLSS_04                  DIS  16  34.91  -5.10
XMMLSS_05                  DIS  17  36.48  -3.60
XMMLSS_06                  DIS  20  34.60  -3.65
XMMLSS_07                  DIS  20  34.10  -5.83
XMMLSS_08                  DIS  17  35.06  -6.30
XMMLSS_09                  DIS  20  34.12  -4.64
XMMLSS_12                  DIS  18  33.66  -3.68
XMMLSS_20                  DIS  18  35.65  -4.65
