recno;ID;RAJ2000;DEJ2000;l_mlow;mlow;l_Dmmax;Dmmax;l_sigint;sigint;l_Sd;Sd;l_Sy;Sy;LC;Mph;rmag;OT;z;X;Class
 ; ;deg;deg; ;mag; ;mag; ;mag; ;mag; ;mag; ; ;mag; ; ; ;
    1017;GROTH_MOS05-21  ;215.7675;+52.7753; ;19.03; ; 0.48; ; 0.16; ; 0.07; ; 0.34;V;pt ;18.53;QSO; 0.997; ;QSO
    1018;GROTH_MOS07-19  ;212.9563;+52.8168; ;19.72; ; 0.47; ; 0.12; ; 0.09; ; 0.20;V;ext;14.60;   ; 0.076;X;AGN
    1019;CDFS_MOS06-05   ;053.7657;-28.7739; ;20.77; ; 0.47; ; 0.21; ;     ; ; 0.53; ;ext;21.18;   ;      ; ;?
    1020;CDFS_MOS02-16   ;053.0086;-27.0476; ;19.09; ; 0.46; ; 0.11; ; 0.12; ; 0.19;V;   ;16.44;   ;      ; ;Point Var
    1021;COSMOS_MOS26-00 ;150.0513;+01.0615; ;20.88; ; 0.46; ; 0.07; ; 0.16; ; 0.10;V;pt ;17.58;RRL;      ; ;RRL
    1022;GROTH_MOS07-18  ;212.9483;+52.5709; ;20.55; ; 0.45; ; 0.11;<; 0.00; ; 0.24;V;ext;19.52;   ;      ; ;AGN
    1023;CDFS_MOS04-05   ;052.6903;-28.6968; ;20.02; ; 0.45; ; 0.14;<; 0.00; ; 0.37;F;ext;19.98;   ;      ; ;Galaxy Flare
    1024;VVDS22H_MOS02-04;334.5535;+00.8106; ;19.64; ; 0.45; ; 0.08; ; 0.14; ; 0.11;V;pt ;17.33;RRL;      ; ;RRL
    1025;GROTH_MOS05-14  ;215.5381;+53.0997; ;19.58; ; 0.45; ; 0.13;<; 0.00; ; 0.19;F;ext;19.51;   ;      ;X;AGN
    1026;GROTH_MOS01-22  ;216.2357;+54.0120; ;20.46; ; 0.45; ; 0.13; ; 0.13; ; 0.19;V;ext;18.98;   ;      ; ;AGN
    1027;VVDS22H_MOS00-13;333.6371;+01.2927; ;19.70; ; 0.45; ; 0.09;<; 0.00; ; 0.35;V;pt ;19.14;QSO;      ; ;QSO
    1028;GROTH_MOS07-28  ;213.2265;+52.8615; ;20.83; ; 0.44; ; 0.10; ; 0.06; ; 0.18;V;pt ;19.82;QSO;      ; ;QSO
    1029;VVDS22H_MOS02-06;334.6204;+01.0656; ;19.67; ; 0.44; ; 0.06; ; 0.08; ; 0.13;V;pt ;13.90;   ;      ; ;STAR
    1030;ELAISN1_MOS15-08;242.3049;+53.9082; ;18.96; ; 0.44; ; 0.08;<; 0.00; ; 0.28; ;pt ;18.34;QSO; 0.992; ;QSO
    1031;GROTH_MOS07-24  ;213.0905;+52.4326; ;19.13; ; 0.44; ; 0.12; ; 0.03; ; 0.18;V;ext;18.82;   ; 0.922; ;AGN
    1032;CDFS_MOS05-10   ;051.8540;-27.7006; ;20.02; ; 0.44; ; 0.10; ; 0.01; ; 0.25;F;pt ;19.42;   ;      ; ;QSO
    1033;GROTH_MOS04-10  ;211.9961;+53.7999; ;19.40; ; 0.44; ; 0.15; ; 0.06; ; 0.28;V;ext;17.39;   ; 0.172; ;AGN
    1034;XMMLSS_MOS06-20 ;036.4632;-04.8917; ;19.01; ; 0.43; ; 0.13; ; 0.24; ; 0.21;V;pt ;16.71;RRL;      ; ;RRL
    1035;COSMOS_MOS25-07 ;149.0712;+02.4838; ;20.00; ; 0.43; ; 0.12; ; 0.11; ; 0.25;V;pt ;19.29;QSO; 1.405; ;QSO
    1036;XMMLSS_MOS06-12 ;036.1318;-05.4718; ;18.68; ; 0.43; ; 0.08;<; 0.00; ; 0.34;V;pt ;17.10;QSO;      ; ;QSO
    1037;CDFS_MOS02-12   ;052.9020;-26.3864; ;20.45; ; 0.43; ; 0.07;<; 0.00; ; 0.13;V;pt ;19.91;   ;      ; ;Point Var
    1038;COSMOS_MOS23-10 ;150.8177;+02.7104; ;19.88; ; 0.43; ; 0.11; ; 0.16; ; 0.23;V;ext;18.56;   ; 0.217;X;AGN
    1039;ELAISN1_MOS12-20;243.6408;+54.6809; ;19.29; ; 0.43; ; 0.13; ; 0.11; ; 0.26; ;ext;17.94;   ;      ; ;?
    1040;CDFS_MOS01-02   ;051.5166;-27.9417; ;19.06; ; 0.42; ; 0.08;<; 0.00; ; 0.20; ;pt ;18.24;   ;      ; ;?
    1041;GROTH_MOS03-17  ;214.5889;+52.9567; ;20.56; ; 0.42; ; 0.12;<; 0.00; ; 0.29;F;ext;18.86;   ;      ; ;Galaxy Flare
    1042;GROTH_MOS03-05  ;213.8931;+53.6208; ;18.50; ; 0.42; ; 0.16; ; 0.05; ; 0.35;F;pt ;17.73;QSO; 1.226; ;QSO
    1043;COSMOS_MOS22-10 ;149.4798;+02.8020; ;19.76; ; 0.41; ; 0.13; ; 0.05; ; 0.31;V;pt ;19.00;QSO; 1.110;X;QSO
    1044;COSMOS_MOS21-21 ;150.8141;+03.1293; ;19.85; ; 0.40; ; 0.13; ; 0.07; ; 0.31;V;pt ;19.06;QSO; 0.997; ;QSO
    1045;VVDS22H_MOS01-04;332.4001;+00.5266; ;19.34; ; 0.39; ; 0.06; ; 0.04; ; 0.17; ;ext; 8.83;   ;      ; ;?
    1046;VVDS22H_MOS06-07;332.7122;-00.2961; ;18.50; ; 0.39; ; 0.10;<; 0.00; ; 0.43; ;pt ;17.97;QSO; 1.297; ;QSO
    1047;VVDS22H_MOS01-06;332.4623;+00.4981; ;18.31; ; 0.38; ; 0.11; ; 0.19; ; 0.15;V;pt ;14.15;   ;      ; ;Point Var
    1048;CDFS_MOS00-54   ;053.6281;-27.5559; ;20.03; ; 0.38;<; 0.00; ; 0.03; ; 0.02;V;pt ;16.09;   ;      ; ;Point Var
    1049;XMMLSS_MOS01-21 ;036.7872;-03.4058; ;17.94; ; 0.37; ; 0.09; ; 0.10; ; 0.13;V;pt ;15.50;RRL;      ; ;RRL
    1050;COSMOS_MOS21-19 ;150.7204;+02.9075; ;19.86; ; 0.37; ; 0.12;<; 0.00; ; 0.29; ;pt ;19.60;QSO; 0.795;X;QSO
    1051;XMMLSS_MOS01-19 ;036.7721;-03.7063; ;18.78; ; 0.36; ; 0.10; ; 0.19; ; 0.14;V;pt ;16.65;RRL;      ; ;RRL
    1052;CDFS_MOS01-05   ;051.6123;-27.9367; ;19.25; ; 0.36; ; 0.07;<; 0.00; ; 0.40; ;pt ;18.53;   ;      ; ;?
    1053;VVDS22H_MOS00-11;333.5441;+01.5167; ;18.48; ; 0.35; ; 0.08; ; 0.07; ; 0.16;V;pt ;12.83;   ;      ; ;Point Var
    1054;COSMOS_MOS21-18 ;150.7009;+03.5324; ;18.74; ; 0.35; ; 0.14; ; 0.08; ; 0.34;V;pt ;17.68;QSO; 1.481; ;QSO
    1055;CDFS_MOS02-17   ;053.0102;-27.2718; ;18.38; ; 0.34; ; 0.10; ; 0.01; ; 0.34;V;ext;18.11;   ;      ; ;AGN
    1056;COSMOS_MOS26-14 ;150.3322;+01.0838; ;19.41; ; 0.33; ; 0.08; ; 0.04; ; 0.14; ;pt ;18.65;QSO; 1.109; ;QSO
    1057;GROTH_MOS04-30  ;213.0591;+53.4297; ;19.28; ; 0.33; ; 0.09; ; 0.04; ; 0.20;F;ext;18.92;   ; 0.458; ;AGN
    1058;GROTH_MOS07-26  ;213.1104;+52.8967; ;19.08; ; 0.32; ; 0.09;<; 0.00; ; 0.16;F;pt ;18.64;QSO; 1.144; ;QSO
    1059;CDFS_MOS06-21   ;054.4870;-28.1262; ;19.19; ; 0.32; ; 0.14; ; 0.02; ; 0.18; ;   ;14.59;   ;      ; ;QSO
    1060;XMMLSS_MOS04-17 ;037.1175;-04.0122; ;19.34; ; 0.32; ; 0.03;<; 0.00; ; 0.34;F;pt ;17.93;QSO;      ;X;QSO
    1061;GROTH_MOS01-10  ;215.5266;+54.1140; ;19.90; ; 0.32; ; 0.10; ; 0.09; ; 0.13;V;ext;19.92;   ;      ; ;AGN
    1062;GROTH_MOS03-04  ;213.8420;+53.8426; ;19.84; ; 0.31; ; 0.09; ; 0.20; ; 0.13;V;pt ;19.44;QSO;      ; ;QSO
    1063;GROTH_MOS02-12  ;214.1646;+54.7288; ;18.69; ; 0.31; ; 0.10; ; 0.06; ; 0.20; ;pt ;17.97;QSO; 1.194; ;QSO
    1064;VVDS22H_MOS00-22;333.8612;+01.2322; ;19.64; ; 0.31; ; 0.06;<; 0.00; ; 0.18;V;pt ;18.85;QSO; 1.265; ;QSO
    1065;GROTH_MOS02-15  ;214.2491;+53.9687; ;19.01; ; 0.31; ; 0.09; ; 0.11; ; 0.20;V;ext;18.11;   ; 0.720;X;AGN
    1066;VVDS22H_MOS03-11;333.6952;+00.5564; ;18.36; ; 0.28; ; 0.06; ;     ; ; 0.19; ;pt ;17.94;QSO; 0.892; ;QSO
    1067;CDFS_MOS04-02   ;052.4790;-29.1346; ;19.48; ; 0.28; ; 0.03; ; 0.02; ; 0.09;V;ext;15.50;   ;      ; ;AGN
    1068;COSMOS_MOS27-23 ;149.9400;+00.9866; ;19.42; ; 0.27; ; 0.07; ; 0.14; ; 0.10;V;pt ;14.61;   ;      ; ;STAR
    1069;GROTH_MOS02-08  ;213.8001;+54.8780; ;18.42; ; 0.27; ; 0.04; ; 0.07; ; 0.06;V;pt ;13.03;   ;      ; ;Point Var
    1070;COSMOS_MOS23-17 ;150.8654;+01.9623; ;18.56; ; 0.27; ; 0.08; ; 0.04; ; 0.20;F;pt ;18.37;QSO; 1.067; ;QSO
    1071;GROTH_MOS06-09  ;214.6603;+52.4000; ;19.04; ; 0.27; ; 0.12; ;     ; ; 0.27; ;pt ;18.69;QSO; 1.119;X;QSO
    1072;VVDS22H_MOS01-17;332.9459;+00.2298; ;19.02; ; 0.27; ; 0.03; ; 0.05; ; 0.04;F;pt ;11.96;   ;      ; ;Point Flare
    1073;COSMOS_MOS21-12 ;150.5294;+03.0580; ;18.07; ; 0.26; ; 0.07;<; 0.00; ; 0.13;V;ext;13.93;   ; 0.023; ;AGN
    1074;VVDS22H_MOS05-00;333.4082;-00.7183; ;18.06; ; 0.26; ; 0.04; ; 0.02; ; 0.10;V;pt ;17.19;QSO; 1.182; ;QSO
    1075;COSMOS_MOS23-20 ;150.9247;+02.0944; ;19.20; ; 0.26; ; 0.05; ; 0.03; ; 0.14;V;ext;16.77;   ;      ; ;AGN
    1076;GROTH_MOS04-15  ;212.2576;+53.1997; ;19.79; ; 0.24; ; 0.05; ; 0.12; ; 0.07;V;pt ;16.36;RRL;      ; ;RRL
    1077;GROTH_MOS06-03  ;214.1765;+52.3035; ;18.54; ; 0.24; ; 0.08; ; 0.02; ; 0.23;V;pt ;17.57;QSO; 1.282;X;QSO
    1078;CDFS_MOS05-34   ;052.5501;-26.9459; ;18.23; ; 0.23; ; 0.04; ; 0.05; ; 0.07;V;ext;15.35;   ;      ; ;AGN
